id_country;country;start_place;start_day;start_month;start_h;start_min;start_seg;end_day;end_month;end_h;end_min;end_seg;user_time
26;USA / Canada;Parque Santa Catalina;10;12;13;7;35;10;12;14;4;40; 00:57:05
9;Países Bajos;Torre Woermann;10;12;17;56;27;10;12;18;53;22; 00:56:55
11;Reino Unido;Oficina de la Sitycleta;12;12;19;17;13;12;12;20;14;6; 00:56:53
1;Alemania;Plaza de la feria;26;12;13;11;58;26;12;14;8;42; 00:56:44
9;Países Bajos;Teatro Pérez Galdós;18;12;19;3;43;18;12;20;0;26; 00:56:43
1;Alemania;Intermodal El Rincón;16;12;18;18;56;16;12;19;15;37; 00:56:41
14;Finlandia;Churruca;31;12;15;17;14;31;12;16;13;51; 00:56:37
11;Reino Unido;León y Castillo;30;12;9;25;24;30;12;10;21;59; 00:56:35
10;Francia;Las Canteras - Luis Morote;20;12;14;18;59;20;12;15;15;28; 00:56:29
14;Finlandia;Churruca;31;12;15;15;43;31;12;16;12;7; 00:56:24
11;Reino Unido;Las Canteras - Luis Morote;22;12;16;27;19;22;12;17;23;37; 00:56:18
1;Alemania;Parque Santa Catalina;22;12;14;1;43;22;12;14;57;54; 00:56:11
20;Hungría;Plaza Manuel Becerra;25;12;10;19;31;25;12;11;15;36; 00:56:05
1;Alemania;Service Car 3026LZF;28;12;18;11;32;28;12;19;7;18; 00:55:46
19;Rep. Checa;C.C. El Muelle;18;12;17;39;4;18;12;18;34;39; 00:55:35
